atom,orbital,r_bohr,R
Ar,1s,0.000120652955389,147.821321711
Ar,1s,0.00012141992755,147.820975886
Ar,1s,0.000122191775234,147.820625677
Ar,1s,0.000122968529435,147.820271026
Ar,1s,0.000123750221342,147.819911878
Ar,1s,0.000124536882343,147.819548177
Ar,1s,0.000125328544026,147.819179864
Ar,1s,0.000126125238181,147.818806883
Ar,1s,0.000126926996797,147.818429174
Ar,1s,0.000127733852068,147.818046677
Ar,1s,0.000128545836393,147.817659332
Ar,1s,0.000129362982377,147.817267079
Ar,1s,0.000130185322831,147.816869855
Ar,1s,0.000131012890777,147.816467598
Ar,1s,0.000131845719443,147.816060244
Ar,1s,0.000132683842273,147.815647729
Ar,1s,0.00013352729292,147.815229989
Ar,1s,0.000134376105251,147.814806958
Ar,1s,0.000135230313352,147.814378569
Ar,1s,0.000136089951521,147.813944754
Ar,1s,0.000136955054277,147.813505446
Ar,1s,0.000137825656357,147.813060575
Ar,1s,0.00013870179272,147.812610072
Ar,1s,0.000139583498547,147.812153866
Ar,1s,0.00014047080924,147.811691885
Ar,1s,0.000141363760431,147.811224056
Ar,1s,0.000142262387973,147.810750306
Ar,1s,0.000143166727952,147.810270562
Ar,1s,0.000144076816681,147.809784746
Ar,1s,0.000144992690702,147.809292784
Ar,1s,0.000145914386793,147.808794599
Ar,1s,0.000146841941963,147.808290111
Ar,1s,0.000147775393458,147.807779242
Ar,1s,0.00014871477876,147.807261913
Ar,1s,0.000149660135588,147.806738041
Ar,1s,0.000150611501904,147.806207546
Ar,1s,0.000151568915907,147.805670343
Ar,1s,0.000152532416044,147.80512635
Ar,1s,0.000153502041002,147.80457548
Ar,1s,0.000154477829715,147.804017649
Ar,1s,0.000155459821367,147.803452767
Ar,1s,0.000156448055387,147.802880749
Ar,1s,0.000157442571458,147.802301503
Ar,1s,0.000158443409513,147.80171494
Ar,1s,0.000159450609742,147.801120968
Ar,1s,0.000160464212586,147.800519494
Ar,1s,0.000161484258746,147.799910425
Ar,1s,0.000162510789183,147.799293666
Ar,1s,0.000163543845114,147.79866912
Ar,1s,0.000164583468022,147.798036691
Ar,1s,0.000165629699651,147.79739628
Ar,1s,0.000166682582014,147.796747787
Ar,1s,0.000167742157386,147.796091111
Ar,1s,0.000168808468315,147.79542615
Ar,1s,0.000169881557618,147.794752802
Ar,1s,0.000170961468383,147.79407096
Ar,1s,0.000172048243974,147.79338052
Ar,1s,0.000173141928029,147.792681374
Ar,1s,0.000174242564464,147.791973414
Ar,1s,0.000175350197475,147.791256529
Ar,1s,0.000176464871537,147.79053061
Ar,1s,0.000177586631409,147.789795542
Ar,1s,0.000178715522136,147.789051213
Ar,1s,0.000179851589046,147.788297507
Ar,1s,0.000180994877758,147.787534308
Ar,1s,0.000182145434179,147.786761497
Ar,1s,0.000183303304509,147.785978956
Ar,1s,0.000184468535242,147.785186562
Ar,1s,0.000185641173166,147.784384194
Ar,1s,0.000186821265367,147.783571728
Ar,1s,0.000188008859233,147.782749038
Ar,1s,0.000189204002448,147.781915998
Ar,1s,0.000190406743004,147.78107248
Ar,1s,0.000191617129196,147.780218353
Ar,1s,0.000192835209625,147.779353485
Ar,1s,0.000194061033203,147.778477745
Ar,1s,0.000195294649151,147.777590996
Ar,1s,0.000196536107006,147.776693103
Ar,1s,0.000197785456615,147.775783928
Ar,1s,0.000199042748147,147.774863332
Ar,1s,0.000200308032087,147.773931172
Ar,1s,0.00020158135924,147.772987306
Ar,1s,0.000202862780737,147.77203159
Ar,1s,0.000204152348033,147.771063877
Ar,1s,0.000205450112908,147.770084019
Ar,1s,0.000206756127473,147.769091866
Ar,1s,0.000208070444171,147.768087266
Ar,1s,0.000209393115776,147.767070066
Ar,1s,0.000210724195401,147.76604011
Ar,1s,0.000212063736492,147.764997242
Ar,1s,0.000213411792839,147.763941303
Ar,1s,0.000214768418571,147.762872131
Ar,1s,0.000216133668163,147.761789563
Ar,1s,0.000217507596436,147.760693436
Ar,1s,0.000218890258557,147.759583581
Ar,1s,0.000220281710048,147.758459831
Ar,1s,0.000221682006781,147.757322016
Ar,1s,0.000223091204983,147.756169961
Ar,1s,0.00022450936124,147.755003493
Ar,1s,0.000225936532497,147.753822436
Ar,1s,0.00022737277606,147.752626609
Ar,1s,0.000228818149602,147.751415832
Ar,1s,0.000230272711159,147.750189922
Ar,1s,0.000231736519139,147.748948695
Ar,1s,0.00023320963232,147.747691962
Ar,1s,0.000234692109853,147.746419534
Ar,1s,0.000236184011267,147.74513122
Ar,1s,0.000237685396467,147.743826825
