atom,channel,delta_Ha,osc,alpha0_contribution,alpha0_fraction,single_channel_c6,single_channel_c6_fraction,cross_inclusive_c6,cross_inclusive_c6_fraction,is_residual
Sn,rpa_086,0.514573963275,0.000205186231,0.000774912378975651,1.1676944345690023e-05,2.317470787658411e-07,2.788664903590075e-10,0.013113834947157087,1.578017356825484e-05,False
Sn,rpa_085,0.513245231252,0.000123997697,0.0004707212164576954,7.093170268073273e-06,8.529306735214546e-08,1.0263507299041369e-10,0.007959027967443874,9.577277986717853e-06,False
Sn,rpa_084,0.513208293104,0.000122487455,0.000465054959060146,7.007786973039322e-06,8.324602184311751e-08,1.0017181692803809e-10,0.00786302988745009,9.461761330405999e-06,False
Sn,rpa_069,0.421698583035,4.615603e-05,0.00025955187077839466,3.911116704452949e-06,2.130648124541358e-08,2.5638569765153327e-11,0.0040878856783727715,4.919045099457343e-06,False
Sn,rpa_068,0.421646471493,3.8937273e-05,0.00021901234308155227,3.3002375630688085e-06,1.516864951354912e-08,1.825277831270253e-11,0.003449233468958016,4.150540481630116e-06,False
Sn,rpa_018,0.201287248913,1.1927e-08,2.9437348600769117e-07,4.435834174571341e-09,1.3082023028932027e-14,1.5741893569066698e-17,3.272034979137449e-06,3.937313539498489e-09,False
Sn,rpa_017,0.201285856993,1.0618e-08,2.6206933036837804e-07,3.949051619834761e-09,1.0368284903698466e-14,1.2476391234506691e-17,2.9129549154367085e-06,3.5052243944901414e-09,False
Sn,rpa_021,0.209626238496,5.403e-09,1.2295428950667414e-07,1.8527648216578636e-09,2.3768089492428523e-15,2.860067852673755e-18,1.397835952770211e-06,1.682047550815234e-09,False
Sn,rpa_070,0.422073658019,1.0043e-08,5.637505337619129e-08,8.495003804549812e-10,1.0060589845521664e-15,1.2106134826393456e-18,8.881974817519282e-07,1.0687880762118907e-09,False
Sn,rpa_067,0.411366194713,8.215e-09,4.8545655440330596e-08,7.315213076749627e-10,7.270940671009936e-16,8.749287012941516e-19,7.572925805284331e-07,9.112672540751271e-10,False
Sn,rpa_066,0.411364279955,6.668e-09,3.9404192809269355e-08,5.937710880666355e-10,4.790410296701291e-16,5.764408828516577e-19,6.14688349361101e-07,7.396683641656673e-10,False
Sn,rpa_083,0.51283724113,4.965e-09,1.8878180859709444e-08,2.844701842782465e-10,1.3707589921014101e-16,1.6494652329214803e-19,3.191090580307384e-07,3.839911317489176e-10,False
Sn,rpa_082,0.51283668467,3.415e-09,1.2984718538123234e-08,1.956631999020869e-10,6.48493201635297e-17,7.803465058752114e-20,2.194882973790217e-07,2.641152220382759e-10,False
Sn,rpa_015,0.200442322784,1.07e-10,2.6632070022695642e-09,4.013114358511341e-11,1.066253668205783e-18,1.2830471040603764e-21,2.9532453540751516e-08,3.553706788650027e-11,False
Sn,rpa_078,0.4878834114,2.04e-10,8.57034024195131e-10,1.2914413131608722e-11,2.6876545223290666e-19,3.2341153464839075e-22,1.4239714441123787e-08,1.7134969774194963e-11,False
Sn,rpa_087,0.514726316888,1.27e-10,4.793480601321553e-10,7.223165834280122e-12,8.870326080009295e-20,1.0673863573363723e-22,8.11281653885826e-09,9.762335245674667e-12,False
