atom,orbital,r_bohr,u
Ar,1s,0.000102976431864,0.0152479657147
Ar,1s,0.000103631037101,0.0153448601271
Ar,1s,0.000104289803563,0.0154423698225
Ar,1s,0.0001049527577,0.0155404986995
Ar,1s,0.000105619926135,0.0156392506815
Ar,1s,0.000106291335656,0.0157386297164
Ar,1s,0.000106967013224,0.0158386397769
Ar,1s,0.000107646985969,0.0159392848607
Ar,1s,0.000108331281196,0.0160405689911
Ar,1s,0.000109019926381,0.0161424962159
Ar,1s,0.000109712949178,0.0162450706094
Ar,1s,0.000110410377413,0.0163482962705
Ar,1s,0.000111112239091,0.0164521773244
Ar,1s,0.000111818562396,0.0165567179223
Ar,1s,0.000112529375688,0.0166619222413
Ar,1s,0.00011324470751,0.0167677944849
Ar,1s,0.000113964586587,0.0168743388831
Ar,1s,0.000114689041823,0.0169815596921
Ar,1s,0.000115418102308,0.0170894611952
Ar,1s,0.000116151797319,0.0171980477025
Ar,1s,0.000116890156315,0.0173073235513
Ar,1s,0.000117633208944,0.0174172931058
Ar,1s,0.000118380985045,0.0175279607583
Ar,1s,0.000119133514642,0.0176393309277
Ar,1s,0.000119890827954,0.0177514080616
Ar,1s,0.000120652955389,0.017864196635
Ar,1s,0.00012141992755,0.0179777011509
Ar,1s,0.000122191775234,0.0180919261407
Ar,1s,0.000122968529435,0.0182068761648
Ar,1s,0.000123750221342,0.0183225558113
Ar,1s,0.000124536882343,0.0184389696974
Ar,1s,0.000125328544026,0.0185561224695
Ar,1s,0.000126125238181,0.0186740188031
Ar,1s,0.000126926996797,0.0187926634028
Ar,1s,0.000127733852068,0.0189120610027
Ar,1s,0.000128545836393,0.0190322163666
Ar,1s,0.000129362982377,0.0191531342885
Ar,1s,0.000130185322831,0.0192748195918
Ar,1s,0.000131012890777,0.0193972771308
Ar,1s,0.000131845719443,0.0195205117894
Ar,1s,0.000132683842273,0.0196445284831
Ar,1s,0.00013352729292,0.0197693321574
Ar,1s,0.000134376105251,0.0198949277888
Ar,1s,0.000135230313352,0.0200213203853
Ar,1s,0.000136089951521,0.0201485149862
Ar,1s,0.000136955054277,0.0202765166619
Ar,1s,0.000137825656357,0.020405330515
Ar,1s,0.00013870179272,0.0205349616799
Ar,1s,0.000139583498547,0.020665415323
Ar,1s,0.00014047080924,0.0207966966427
Ar,1s,0.000141363760431,0.0209288108706
Ar,1s,0.000142262387973,0.0210617632702
Ar,1s,0.000143166727952,0.0211955591389
Ar,1s,0.000144076816681,0.0213302038062
Ar,1s,0.000144992690702,0.0214657026352
Ar,1s,0.000145914386793,0.0216020610226
Ar,1s,0.000146841941963,0.0217392843987
Ar,1s,0.000147775393458,0.021877378228
Ar,1s,0.00014871477876,0.0220163480085
Ar,1s,0.000149660135588,0.0221561992729
Ar,1s,0.000150611501904,0.0222969375884
Ar,1s,0.000151568915907,0.0224385685565
Ar,1s,0.000152532416044,0.0225810978145
Ar,1s,0.000153502041002,0.0227245310339
Ar,1s,0.000154477829715,0.0228688739219
Ar,1s,0.000155459821367,0.0230141322215
Ar,1s,0.000156448055387,0.023160311711
Ar,1s,0.000157442571458,0.023307418205
Ar,1s,0.000158443409513,0.0234554575541
Ar,1s,0.000159450609742,0.0236044356456
Ar,1s,0.000160464212586,0.0237543584032
Ar,1s,0.000161484258746,0.0239052317871
Ar,1s,0.000162510789183,0.0240570617958
Ar,1s,0.000163543845114,0.0242098544634
Ar,1s,0.000164583468022,0.0243636158624
Ar,1s,0.000165629699651,0.0245183521033
Ar,1s,0.000166682582014,0.0246740693344
Ar,1s,0.000167742157386,0.0248307737412
Ar,1s,0.000168808468315,0.0249884715491
Ar,1s,0.000169881557618,0.0251471690214
Ar,1s,0.000170961468383,0.0253068724597
Ar,1s,0.000172048243974,0.025467588206
Ar,1s,0.000173141928029,0.0256293226404
Ar,1s,0.000174242564464,0.0257920821831
Ar,1s,0.000175350197475,0.0259558732945
Ar,1s,0.000176464871537,0.026120702474
Ar,1s,0.000177586631409,0.0262865762619
Ar,1s,0.000178715522136,0.0264535012392
Ar,1s,0.000179851589046,0.0266214840272
Ar,1s,0.000180994877758,0.0267905312884
Ar,1s,0.000182145434179,0.0269606497261
Ar,1s,0.000183303304509,0.0271318460857
Ar,1s,0.000184468535242,0.0273041271541
Ar,1s,0.000185641173166,0.0274774997597
