atom,orbital,r_bohr,R
Ar,1s,2.20800790962e-05,148.097899337
Ar,1s,2.22204387412e-05,148.097883907
Ar,1s,2.23616906307e-05,148.09786828
Ar,1s,2.25038404366e-05,148.097852454
Ar,1s,2.26468938668e-05,148.097836426
Ar,1s,2.27908566655e-05,148.097820194
Ar,1s,2.29357346134e-05,148.097803754
Ar,1s,2.30815335281e-05,148.097787106
Ar,1s,2.32282592638e-05,148.097770245
Ar,1s,2.33759177124e-05,148.097753168
Ar,1s,2.35245148028e-05,148.097735875
Ar,1s,2.3674056502e-05,148.097718361
Ar,1s,2.38245488146e-05,148.097700623
Ar,1s,2.39759977835e-05,148.097682659
Ar,1s,2.41284094901e-05,148.097664467
Ar,1s,2.42817900543e-05,148.097646042
Ar,1s,2.4436145635e-05,148.097627383
Ar,1s,2.45914824302e-05,148.097608485
Ar,1s,2.47478066775e-05,148.097589347
Ar,1s,2.49051246537e-05,148.097569964
Ar,1s,2.5063442676e-05,148.097550335
Ar,1s,2.52227671014e-05,148.097530455
Ar,1s,2.53831043275e-05,148.097510322
Ar,1s,2.55444607926e-05,148.097489933
Ar,1s,2.57068429757e-05,148.097469283
Ar,1s,2.58702573973e-05,148.09744837
Ar,1s,2.6034710619e-05,148.09742719
Ar,1s,2.62002092444e-05,148.097405741
Ar,1s,2.63667599189e-05,148.097384018
Ar,1s,2.65343693303e-05,148.097362018
Ar,1s,2.67030442088e-05,148.097339737
Ar,1s,2.68727913274e-05,148.097317173
Ar,1s,2.70436175021e-05,148.097294321
Ar,1s,2.72155295924e-05,148.097271177
Ar,1s,2.73885345012e-05,148.097247739
Ar,1s,2.75626391755e-05,148.097224002
Ar,1s,2.77378506062e-05,148.097199962
Ar,1s,2.79141758289e-05,148.097175616
Ar,1s,2.80916219237e-05,148.097150959
Ar,1s,2.82701960158e-05,148.097125988
Ar,1s,2.84499052759e-05,148.097100699
Ar,1s,2.86307569198e-05,148.097075087
Ar,1s,2.88127582097e-05,148.097049149
Ar,1s,2.89959164536e-05,148.097022881
Ar,1s,2.91802390061e-05,148.096996277
Ar,1s,2.93657332686e-05,148.096969334
Ar,1s,2.95524066894e-05,148.096942048
Ar,1s,2.97402667642e-05,148.096914414
Ar,1s,2.99293210364e-05,148.096886428
Ar,1s,3.01195770973e-05,148.096858085
Ar,1s,3.03110425866e-05,148.096829381
Ar,1s,3.05037251924e-05,148.096800311
Ar,1s,3.06976326517e-05,148.096770871
Ar,1s,3.08927727506e-05,148.096741055
Ar,1s,3.1089153325e-05,148.096710859
Ar,1s,3.12867822603e-05,148.096680279
Ar,1s,3.14856674921e-05,148.096649308
Ar,1s,3.16858170066e-05,148.096617943
Ar,1s,3.18872388405e-05,148.096586178
Ar,1s,3.20899410819e-05,148.096554008
Ar,1s,3.229393187e-05,148.096521428
